order_purchase_date,warehouse_id,warehouse_name,carrier_id,carrier_name,sla_tier,shipment_count,sla_breach_count,on_time_count,sla_attainment_pct,avg_delay_days,real_late_delivery_count
2018-04-01,WH_CENTRAL_WEST,Central-West FC,CAR_A,Carrier A,fast,1,1,0,0.0,0.0,0
2018-04-01,WH_CENTRAL_WEST,Central-West FC,CAR_B,Carrier B,bulky,1,1,0,0.0,0.0,0
2018-04-01,WH_CENTRAL_WEST,Central-West FC,CAR_B,Carrier B,standard,2,2,0,0.0,0.0,0
2018-04-01,WH_CENTRAL_WEST,Central-West FC,CAR_C,Carrier C,fast,2,2,0,0.0,0.0,0
2018-04-01,WH_CENTRAL_WEST,Central-West FC,CAR_C,Carrier C,standard,2,2,0,0.0,0.0,0
2018-04-01,WH_CENTRAL_WEST,Central-West FC,CAR_D,Carrier D,fast,1,1,0,0.0,0.0,0
2018-04-01,WH_NORTH,North FC,CAR_A,Carrier A,standard,1,1,0,0.0,0.0,0
2018-04-01,WH_NORTH,North FC,CAR_B,Carrier B,fast,1,1,0,0.0,0.0,0
2018-04-01,WH_NORTH,North FC,CAR_C,Carrier C,bulky,1,1,0,0.0,4.0,1
2018-04-01,WH_NORTH,North FC,CAR_D,Carrier D,fast,1,1,0,0.0,0.0,0
2018-04-01,WH_SOUTH,South FC,CAR_A,Carrier A,fast,4,4,0,0.0,0.0,0
2018-04-01,WH_SOUTH,South FC,CAR_A,Carrier A,standard,4,4,0,0.0,0.0,0
2018-04-01,WH_SOUTH,South FC,CAR_B,Carrier B,bulky,2,1,1,50.0,0.0,0
2018-04-01,WH_SOUTH,South FC,CAR_B,Carrier B,fast,2,2,0,0.0,0.0,0
2018-04-01,WH_SOUTH,South FC,CAR_B,Carrier B,standard,6,6,0,0.0,0.0,0
2018-04-01,WH_SOUTH,South FC,CAR_C,Carrier C,fast,10,10,0,0.0,0.0,0
2018-04-01,WH_SOUTH,South FC,CAR_C,Carrier C,standard,2,2,0,0.0,0.0,0
2018-04-01,WH_SOUTH,South FC,CAR_D,Carrier D,bulky,1,1,0,0.0,0.0,0
2018-04-01,WH_SOUTH,South FC,CAR_D,Carrier D,fast,1,1,0,0.0,0.0,0
2018-04-01,WH_SOUTH,South FC,CAR_D,Carrier D,standard,2,2,0,0.0,0.0,0
2018-04-01,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,bulky,11,9,2,18.18,1.91,2
2018-04-01,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,fast,18,14,4,22.22,0.94,2
2018-04-01,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,standard,22,16,6,27.27,1.18,2
2018-04-01,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,bulky,10,3,7,70.0,0.2,1
2018-04-01,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,fast,23,17,6,26.09,1.43,3
2018-04-01,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,standard,19,11,8,42.11,0.32,1
2018-04-01,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,bulky,9,5,4,44.44,0.44,1
2018-04-01,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,fast,12,11,1,8.33,0.5,1
2018-04-01,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,standard,11,8,3,27.27,0.0,0
2018-04-01,WH_SOUTHEAST,Southeast FC,CAR_D,Carrier D,bulky,4,1,3,75.0,0.0,0
2018-04-01,WH_SOUTHEAST,Southeast FC,CAR_D,Carrier D,fast,9,9,0,0.0,0.44,2
2018-04-01,WH_SOUTHEAST,Southeast FC,CAR_D,Carrier D,standard,6,4,2,33.33,0.0,0
2018-04-02,WH_CENTRAL_WEST,Central-West FC,CAR_A,Carrier A,fast,3,3,0,0.0,0.0,0
2018-04-02,WH_CENTRAL_WEST,Central-West FC,CAR_B,Carrier B,fast,3,3,0,0.0,0.0,0
2018-04-02,WH_CENTRAL_WEST,Central-West FC,CAR_D,Carrier D,fast,2,2,0,0.0,0.0,0
2018-04-02,WH_NORTH,North FC,CAR_B,Carrier B,bulky,1,1,0,0.0,3.0,1
2018-04-02,WH_NORTH,North FC,CAR_B,Carrier B,fast,2,2,0,0.0,4.5,1
2018-04-02,WH_NORTH,North FC,CAR_D,Carrier D,bulky,1,1,0,0.0,10.0,1
2018-04-02,WH_NORTH,North FC,CAR_D,Carrier D,standard,1,1,0,0.0,0.0,0
2018-04-02,WH_SOUTH,South FC,CAR_A,Carrier A,bulky,3,3,0,0.0,4.33,1
2018-04-02,WH_SOUTH,South FC,CAR_A,Carrier A,fast,4,4,0,0.0,0.0,0
2018-04-02,WH_SOUTH,South FC,CAR_A,Carrier A,standard,4,4,0,0.0,0.0,0
2018-04-02,WH_SOUTH,South FC,CAR_B,Carrier B,bulky,5,5,0,0.0,0.0,0
2018-04-02,WH_SOUTH,South FC,CAR_B,Carrier B,fast,5,5,0,0.0,0.0,0
2018-04-02,WH_SOUTH,South FC,CAR_B,Carrier B,standard,9,8,1,11.11,0.0,0
2018-04-02,WH_SOUTH,South FC,CAR_C,Carrier C,bulky,4,4,0,0.0,0.0,0
2018-04-02,WH_SOUTH,South FC,CAR_C,Carrier C,fast,2,2,0,0.0,0.0,0
2018-04-02,WH_SOUTH,South FC,CAR_C,Carrier C,standard,4,3,1,25.0,0.0,0
2018-04-02,WH_SOUTH,South FC,CAR_D,Carrier D,bulky,1,1,0,0.0,0.0,0
2018-04-02,WH_SOUTH,South FC,CAR_D,Carrier D,standard,1,1,0,0.0,0.0,0
2018-04-02,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,bulky,18,10,8,44.44,0.89,3
2018-04-02,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,fast,28,25,3,10.71,0.07,1
2018-04-02,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,standard,24,11,13,54.17,1.92,3
2018-04-02,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,bulky,19,14,5,26.32,1.95,5
2018-04-02,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,fast,26,21,5,19.23,1.65,7
2018-04-02,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,standard,28,23,5,17.86,3.25,7
2018-04-02,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,bulky,18,11,7,38.89,0.89,1
2018-04-02,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,fast,17,16,1,5.88,0.24,1
2018-04-02,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,standard,17,14,3,17.65,0.18,1
2018-04-02,WH_SOUTHEAST,Southeast FC,CAR_D,Carrier D,bulky,8,4,4,50.0,1.0,1
2018-04-02,WH_SOUTHEAST,Southeast FC,CAR_D,Carrier D,fast,5,4,1,20.0,7.8,2
2018-04-02,WH_SOUTHEAST,Southeast FC,CAR_D,Carrier D,standard,11,7,4,36.36,0.73,2
2018-04-03,WH_CENTRAL_WEST,Central-West FC,CAR_A,Carrier A,fast,1,1,0,0.0,0.0,0
2018-04-03,WH_CENTRAL_WEST,Central-West FC,CAR_A,Carrier A,standard,2,2,0,0.0,0.0,0
2018-04-03,WH_CENTRAL_WEST,Central-West FC,CAR_B,Carrier B,bulky,1,0,1,100.0,0.0,0
2018-04-03,WH_CENTRAL_WEST,Central-West FC,CAR_B,Carrier B,fast,1,1,0,0.0,0.0,0
2018-04-03,WH_CENTRAL_WEST,Central-West FC,CAR_B,Carrier B,standard,2,2,0,0.0,0.0,0
2018-04-03,WH_CENTRAL_WEST,Central-West FC,CAR_D,Carrier D,bulky,2,2,0,0.0,10.0,1
2018-04-03,WH_CENTRAL_WEST,Central-West FC,CAR_D,Carrier D,fast,3,3,0,0.0,6.0,1
2018-04-03,WH_NORTH,North FC,CAR_A,Carrier A,fast,1,1,0,0.0,0.0,0
2018-04-03,WH_NORTH,North FC,CAR_B,Carrier B,bulky,1,1,0,0.0,0.0,0
2018-04-03,WH_NORTH,North FC,CAR_B,Carrier B,standard,1,1,0,0.0,0.0,0
2018-04-03,WH_NORTH,North FC,CAR_C,Carrier C,standard,1,1,0,0.0,0.0,0
2018-04-03,WH_SOUTH,South FC,CAR_A,Carrier A,bulky,1,0,1,100.0,0.0,0
2018-04-03,WH_SOUTH,South FC,CAR_A,Carrier A,fast,2,2,0,0.0,0.0,0
2018-04-03,WH_SOUTH,South FC,CAR_A,Carrier A,standard,2,2,0,0.0,0.0,0
2018-04-03,WH_SOUTH,South FC,CAR_B,Carrier B,bulky,1,1,0,0.0,0.0,0
2018-04-03,WH_SOUTH,South FC,CAR_B,Carrier B,fast,5,5,0,0.0,0.0,0
2018-04-03,WH_SOUTH,South FC,CAR_B,Carrier B,standard,4,3,1,25.0,0.0,0
2018-04-03,WH_SOUTH,South FC,CAR_C,Carrier C,fast,3,3,0,0.0,0.0,0
2018-04-03,WH_SOUTH,South FC,CAR_C,Carrier C,standard,4,4,0,0.0,1.25,1
2018-04-03,WH_SOUTH,South FC,CAR_D,Carrier D,bulky,1,1,0,0.0,0.0,0
2018-04-03,WH_SOUTH,South FC,CAR_D,Carrier D,fast,3,3,0,0.0,0.0,0
2018-04-03,WH_SOUTH,South FC,CAR_D,Carrier D,standard,6,6,0,0.0,0.0,0
2018-04-03,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,bulky,12,8,4,33.33,0.0,0
2018-04-03,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,fast,25,21,4,16.0,0.88,1
2018-04-03,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,standard,29,22,7,24.14,2.1,6
2018-04-03,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,bulky,13,9,4,30.77,1.85,3
2018-04-03,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,fast,19,16,3,15.79,3.79,4
2018-04-03,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,standard,25,20,5,20.0,1.96,1
2018-04-03,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,bulky,11,7,4,36.36,0.45,1
2018-04-03,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,fast,13,10,3,23.08,0.0,0
2018-04-03,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,standard,23,17,6,26.09,0.22,2
2018-04-03,WH_SOUTHEAST,Southeast FC,CAR_D,Carrier D,bulky,4,4,0,0.0,2.75,1
2018-04-03,WH_SOUTHEAST,Southeast FC,CAR_D,Carrier D,fast,12,8,4,33.33,0.0,0
2018-04-03,WH_SOUTHEAST,Southeast FC,CAR_D,Carrier D,standard,9,5,4,44.44,0.0,0
2018-04-04,WH_CENTRAL_WEST,Central-West FC,CAR_A,Carrier A,bulky,5,5,0,0.0,0.8,1
2018-04-04,WH_CENTRAL_WEST,Central-West FC,CAR_A,Carrier A,fast,1,1,0,0.0,0.0,0
2018-04-04,WH_CENTRAL_WEST,Central-West FC,CAR_A,Carrier A,standard,2,2,0,0.0,0.0,0
2018-04-04,WH_CENTRAL_WEST,Central-West FC,CAR_B,Carrier B,bulky,1,0,1,100.0,0.0,0
2018-04-04,WH_CENTRAL_WEST,Central-West FC,CAR_B,Carrier B,fast,2,2,0,0.0,0.0,0
2018-04-04,WH_CENTRAL_WEST,Central-West FC,CAR_B,Carrier B,standard,2,2,0,0.0,0.0,0
2018-04-04,WH_CENTRAL_WEST,Central-West FC,CAR_C,Carrier C,bulky,1,1,0,0.0,0.0,0
2018-04-04,WH_CENTRAL_WEST,Central-West FC,CAR_C,Carrier C,fast,1,1,0,0.0,0.0,0
2018-04-04,WH_CENTRAL_WEST,Central-West FC,CAR_C,Carrier C,standard,1,1,0,0.0,0.0,0
2018-04-04,WH_CENTRAL_WEST,Central-West FC,CAR_D,Carrier D,fast,2,2,0,0.0,1.0,1
2018-04-04,WH_CENTRAL_WEST,Central-West FC,CAR_D,Carrier D,standard,3,3,0,0.0,0.0,0
2018-04-04,WH_NORTH,North FC,CAR_A,Carrier A,standard,1,1,0,0.0,0.0,0
2018-04-04,WH_NORTH,North FC,CAR_D,Carrier D,fast,1,1,0,0.0,6.0,1
2018-04-04,WH_SOUTH,South FC,CAR_A,Carrier A,bulky,4,3,1,25.0,0.0,0
2018-04-04,WH_SOUTH,South FC,CAR_A,Carrier A,fast,1,1,0,0.0,0.0,0
2018-04-04,WH_SOUTH,South FC,CAR_A,Carrier A,standard,3,3,0,0.0,0.0,0
2018-04-04,WH_SOUTH,South FC,CAR_B,Carrier B,bulky,1,0,1,100.0,0.0,0
2018-04-04,WH_SOUTH,South FC,CAR_B,Carrier B,fast,4,4,0,0.0,0.0,0
2018-04-04,WH_SOUTH,South FC,CAR_B,Carrier B,standard,5,5,0,0.0,1.2,2
2018-04-04,WH_SOUTH,South FC,CAR_C,Carrier C,bulky,3,1,2,66.67,0.0,0
2018-04-04,WH_SOUTH,South FC,CAR_C,Carrier C,fast,1,1,0,0.0,0.0,0
2018-04-04,WH_SOUTH,South FC,CAR_C,Carrier C,standard,3,3,0,0.0,0.0,0
2018-04-04,WH_SOUTH,South FC,CAR_D,Carrier D,bulky,1,1,0,0.0,0.0,0
2018-04-04,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,bulky,17,11,6,35.29,0.0,0
2018-04-04,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,fast,21,12,9,42.86,0.0,0
2018-04-04,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,standard,27,19,8,29.63,0.96,4
