shipment_id,order_id,order_purchase_date,delivered_customer_date,estimated_delivery_date,warehouse_id,warehouse_name,carrier_id,carrier_name,category_name,sla_tier,actual_delivery_days,estimated_delivery_days,sla_target_days,delay_days,sla_breach_flag,real_late_delivery_flag,issue_type,quality_issue_flag,anomaly_flag
ship_019edbdfeb6923e55558362c2b84ec37,019edbdfeb6923e55558362c2b84ec37,2018-04-01,2018-04-05,2018-04-13,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,moveis_decoracao,bulky,4,12,8,0,false,false,none,false,ANOM_SPIKE_001
ship_023aa4b0585594124bc50e55e0e11a5f,023aa4b0585594124bc50e55e0e11a5f,2018-04-01,2018-04-09,2018-04-18,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,utilidades_domesticas,standard,8,17,5,0,true,false,none,false,none
ship_02e0c2efb6d9bb2a95ca90b7e78bec1f,02e0c2efb6d9bb2a95ca90b7e78bec1f,2018-04-01,2018-04-09,2018-04-18,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,cama_mesa_banho,bulky,8,17,8,0,false,false,none,false,none
ship_03e533f76e0f8827796f3d0a45c61dc0,03e533f76e0f8827796f3d0a45c61dc0,2018-04-01,2018-04-11,2018-04-24,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,eletronicos,fast,10,23,3,0,true,false,none,false,none
ship_05f54a9f4abf370b7c655d914159ab98,05f54a9f4abf370b7c655d914159ab98,2018-04-01,2018-04-10,2018-04-19,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,ferramentas_jardim,bulky,9,18,8,0,true,false,none,false,none
ship_08a4c77d9546c8928c3dd4b20da1b773,08a4c77d9546c8928c3dd4b20da1b773,2018-04-01,2018-04-18,2018-04-24,WH_CENTRAL_WEST,Central-West FC,CAR_C,Carrier C,brinquedos,standard,17,23,5,0,true,false,none,false,none
ship_0a75d2b40c23e608bc7bac42a6c8e508,0a75d2b40c23e608bc7bac42a6c8e508,2018-04-01,2018-04-20,2018-04-18,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,ferramentas_jardim,bulky,19,17,8,2,true,true,wrong,true,ANOM_SPIKE_001
ship_0add19297766bc00a177a9ae740554eb,0add19297766bc00a177a9ae740554eb,2018-04-01,2018-04-12,2018-04-18,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,beleza_saude,fast,11,17,3,0,true,false,none,false,none
ship_0b549e03c90c9817ce5280ce5c06dd75,0b549e03c90c9817ce5280ce5c06dd75,2018-04-01,2018-04-07,2018-04-12,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,utilidades_domesticas,standard,6,11,5,0,true,false,none,false,ANOM_SPIKE_001
ship_0c9ac816534df0e690f513c30e944475,0c9ac816534df0e690f513c30e944475,2018-04-01,2018-04-13,2018-04-23,WH_SOUTH,South FC,CAR_C,Carrier C,beleza_saude,fast,12,22,3,0,true,false,none,false,none
ship_0ec09142bbb9fcd661d1d168e66371c4,0ec09142bbb9fcd661d1d168e66371c4,2018-04-01,2018-04-11,2018-04-18,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,ferramentas_jardim,bulky,10,17,8,0,true,false,none,false,none
ship_0f95a7e23723d5388a494f2d812a8332,0f95a7e23723d5388a494f2d812a8332,2018-04-01,2018-04-12,2018-04-25,WH_SOUTH,South FC,CAR_C,Carrier C,papelaria,fast,11,24,3,0,true,false,none,false,none
ship_113e0c165fdf93f9e1017dae01292548,113e0c165fdf93f9e1017dae01292548,2018-04-01,2018-04-03,2018-04-13,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,beleza_saude,fast,2,12,3,0,false,false,missing,true,ANOM_SPIKE_001
ship_123bea8dab4550ec2592468bff3e0866,123bea8dab4550ec2592468bff3e0866,2018-04-01,2018-04-06,2018-04-13,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,informatica_acessorios,fast,5,12,3,0,true,false,none,false,none
ship_12fcd7e7ba3b8dbe376fe73f27aa0a94,12fcd7e7ba3b8dbe376fe73f27aa0a94,2018-04-01,2018-04-18,2018-04-27,WH_SOUTHEAST,Southeast FC,CAR_D,Carrier D,informatica_acessorios,fast,17,26,3,0,true,false,none,false,none
ship_14b8a3dec1630400442e5cb91e6a3e38,14b8a3dec1630400442e5cb91e6a3e38,2018-04-01,2018-04-10,2018-04-23,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,automotivo,standard,9,22,5,0,true,false,refund,true,none
ship_14fda766f6a1e0a37886b3e8fcf8bde1,14fda766f6a1e0a37886b3e8fcf8bde1,2018-04-01,2018-04-11,2018-05-04,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,informatica_acessorios,fast,10,33,3,0,true,false,none,false,none
ship_17f97d000b0ebd36b6dbdf154b0a3d7f,17f97d000b0ebd36b6dbdf154b0a3d7f,2018-04-01,2018-05-02,2018-04-26,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,beleza_saude,fast,31,25,3,6,true,true,damaged,true,none
ship_1a7a8e3660a0903b0d7c43928700edb1,1a7a8e3660a0903b0d7c43928700edb1,2018-04-01,2018-04-09,2018-04-18,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,audio,standard,8,17,5,0,true,false,none,false,none
ship_1c8898140458c37fbbf0be37d47193b9,1c8898140458c37fbbf0be37d47193b9,2018-04-01,2018-04-26,2018-05-04,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,artigos_de_natal,standard,25,33,5,0,true,false,none,false,none
ship_1d41ac5f5e6002b984d0c8609f0019e3,1d41ac5f5e6002b984d0c8609f0019e3,2018-04-01,2018-04-16,2018-05-02,WH_SOUTH,South FC,CAR_B,Carrier B,utilidades_domesticas,standard,15,31,5,0,true,false,none,false,none
